VmPeak;VmSize;VmHWM;VmRSS;VmPTE;Threads;MemFree;Buffers;Cached;Active;Inactive;Dirty;Writeback;AnonPages;Mapped;Slab;PageTables;Committed_AS;NumOfAllocFH;proc-fd;avgThroughput;avgElapsed;avgLatency;Errors
152272;150216;25228;25208;160;9;5605344;32860;334652;0;141432;303564;5605344;8159224;52;0;77468;23772;27860;7196;296596;1530;0;2
152272;150216;25228;25208;160;56;5604472;32952;334644;0;141428;303648;5604472;8159224;28;0;77464;23772;27852;7192;298652;1530;0;2
152272;150216;25228;25208;160;50;5604760;33048;334652;0;141436;303752;5604760;8159224;68;0;77472;23772;27828;7192;298592;1530;0;2
152272;150216;25228;25208;160;34;5604888;33144;334652;0;141436;303848;5604888;8159224;36;0;77472;23772;27832;7196;296468;1530;0;2
152272;150216;25228;25208;160;21;5605000;33240;334672;0;141432;303940;5605000;8159224;48;0;77468;23772;27824;7196;296528;1530;0;2
152272;150216;25228;25208;160;9;5604980;33336;334672;0;141440;304040;5604980;8159224;124;0;77472;23772;27860;7192;294324;1530;0;2
152272;150216;25228;25208;160;58;5604588;33440;334672;0;141440;304136;5604588;8159224;148;0;77472;23772;27852;7192;294280;1530;0;2
152272;150216;25228;25208;160;49;5604288;33536;334672;0;141440;304232;5604288;8159224;8;0;77472;23772;27808;7196;294112;1530;0;2
152272;150216;25228;25208;160;37;5604252;33632;334672;0;141444;304332;5604252;8159224;40;0;77472;23772;27796;7196;294112;1530;0;2
152272;150216;25276;25208;160;21;5604256;33736;334672;0;141444;304436;5604256;8159224;8;0;77472;23772;27864;7192;294120;1530;0;2
152272;151436;25412;25408;160;10;5604220;33832;334672;0;141644;304532;5604220;8159224;28;0;77672;23772;27816;7196;296224;1020;0;2
152272;151436;25412;25408;160;9;5604368;33936;334672;0;141640;304628;5604368;8159224;8;0;77668;23772;27888;7196;296184;1020;0;2
152272;151436;26132;26128;160;57;5602860;34032;334672;0;142368;304724;5602860;8159224;176;0;78396;23772;27900;7192;295952;1020;0;2
152272;151436;26132;26128;160;46;5602584;34128;334672;0;142364;304828;5602584;8159224;144;0;78392;23772;27848;7196;297588;1020;0;2
152272;151436;26132;26128;160;27;5602728;34224;334672;0;142364;304916;5602728;8159224;56;0;78392;23772;27936;7196;297300;1020;0;2
152272;151436;26136;26128;160;13;5603220;34320;334672;0;142360;305012;5603220;8159224;20;0;78388;23772;27860;7196;297180;1530;0;2
152272;151436;26136;26128;160;9;5603120;34424;334676;0;142364;305120;5603120;8159224;48;0;78392;23772;27792;7196;294828;1530;0;2
152272;151436;26472;26468;160;55;5601892;34520;334676;0;142708;305212;5601892;8159224;24;0;78732;23772;27888;7196;296944;1530;0;2
152272;151436;26472;26468;160;41;5602128;34616;334660;0;142708;305316;5602128;8159224;52;0;78732;23772;28012;7196;296724;1530;0;2
152272;151436;26472;26468;160;32;5602076;34720;334660;0;142708;305412;5602076;8159224;144;0;78732;23772;27856;7196;296560;1020;0;2
153484;151436;26612;26468;160;16;5602428;34800;334676;0;142712;305500;5602428;8159224;176;0;78736;23772;27856;7196;296532;1020;0;2
153484;151436;26612;26468;160;9;5601880;34896;334676;0;142716;305592;5601880;8159224;12;0;78736;23772;27972;7192;296532;1020;0;2
153484;151436;26612;26468;160;64;5600936;34992;334676;0;142712;305688;5600936;8159224;52;0;78732;23772;27928;7196;298544;1530;0;2
153484;151436;26612;26468;160;47;5601204;35088;334676;0;142716;305784;5601204;8159224;20;0;78736;23772;27844;7196;300372;1530;0;2
153484;151436;26612;26468;160;30;5601960;35192;334676;0;142716;305880;5601960;8159224;44;0;78736;23772;27808;7196;298140;1530;0;2
153484;151436;26612;26468;160;15;5601720;35288;334676;0;142712;305984;5601720;8159224;20;0;78732;23772;27828;7196;298140;1020;0;2
